id,img_path,A,B,C,D,E,F,G,H,I,J
TRAIN_00038,./train/TRAIN_00038.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00039,./train/TRAIN_00039.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00040,./train/TRAIN_00040.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00041,./train/TRAIN_00041.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00042,./train/TRAIN_00042.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00043,./train/TRAIN_00043.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00044,./train/TRAIN_00044.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00045,./train/TRAIN_00045.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00046,./train/TRAIN_00046.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00047,./train/TRAIN_00047.jpg,0,1,0,0,0,0,0,0,0,0
TRAIN_00048,./train/TRAIN_00048.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00049,./train/TRAIN_00049.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00050,./train/TRAIN_00050.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00051,./train/TRAIN_00051.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00052,./train/TRAIN_00052.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00053,./train/TRAIN_00053.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00054,./train/TRAIN_00054.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00055,./train/TRAIN_00055.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00056,./train/TRAIN_00056.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00057,./train/TRAIN_00057.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00058,./train/TRAIN_00058.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00059,./train/TRAIN_00059.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00060,./train/TRAIN_00060.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00061,./train/TRAIN_00061.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00062,./train/TRAIN_00062.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00063,./train/TRAIN_00063.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00064,./train/TRAIN_00064.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00065,./train/TRAIN_00065.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00066,./train/TRAIN_00066.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00067,./train/TRAIN_00067.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00068,./train/TRAIN_00068.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00069,./train/TRAIN_00069.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00070,./train/TRAIN_00070.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00071,./train/TRAIN_00071.jpg,0,0,1,0,0,0,0,0,0,0
TRAIN_00072,./train/TRAIN_00072.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00073,./train/TRAIN_00073.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00074,./train/TRAIN_00074.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00075,./train/TRAIN_00075.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00076,./train/TRAIN_00076.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00077,./train/TRAIN_00077.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00078,./train/TRAIN_00078.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00079,./train/TRAIN_00079.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00080,./train/TRAIN_00080.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00081,./train/TRAIN_00081.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00082,./train/TRAIN_00082.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00083,./train/TRAIN_00083.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00084,./train/TRAIN_00084.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00085,./train/TRAIN_00085.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00086,./train/TRAIN_00086.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00087,./train/TRAIN_00087.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00088,./train/TRAIN_00088.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00089,./train/TRAIN_00089.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00090,./train/TRAIN_00090.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00091,./train/TRAIN_00091.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00092,./train/TRAIN_00092.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00093,./train/TRAIN_00093.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00094,./train/TRAIN_00094.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00095,./train/TRAIN_00095.jpg,0,0,0,1,0,0,0,0,0,0
TRAIN_00096,./train/TRAIN_00096.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00097,./train/TRAIN_00097.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00098,./train/TRAIN_00098.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00099,./train/TRAIN_00099.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00100,./train/TRAIN_00100.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00101,./train/TRAIN_00101.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00102,./train/TRAIN_00102.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00103,./train/TRAIN_00103.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00104,./train/TRAIN_00104.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00105,./train/TRAIN_00105.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00106,./train/TRAIN_00106.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00107,./train/TRAIN_00107.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00108,./train/TRAIN_00108.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00109,./train/TRAIN_00109.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00110,./train/TRAIN_00110.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00111,./train/TRAIN_00111.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00112,./train/TRAIN_00112.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00113,./train/TRAIN_00113.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00114,./train/TRAIN_00114.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00115,./train/TRAIN_00115.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00116,./train/TRAIN_00116.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00117,./train/TRAIN_00117.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00118,./train/TRAIN_00118.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00119,./train/TRAIN_00119.jpg,0,0,0,0,1,0,0,0,0,0
TRAIN_00120,./train/TRAIN_00120.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00121,./train/TRAIN_00121.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00122,./train/TRAIN_00122.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00123,./train/TRAIN_00123.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00124,./train/TRAIN_00124.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00125,./train/TRAIN_00125.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00126,./train/TRAIN_00126.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00127,./train/TRAIN_00127.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00128,./train/TRAIN_00128.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00129,./train/TRAIN_00129.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00130,./train/TRAIN_00130.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00131,./train/TRAIN_00131.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00132,./train/TRAIN_00132.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00133,./train/TRAIN_00133.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00134,./train/TRAIN_00134.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00135,./train/TRAIN_00135.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00136,./train/TRAIN_00136.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00137,./train/TRAIN_00137.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00138,./train/TRAIN_00138.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00139,./train/TRAIN_00139.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00140,./train/TRAIN_00140.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00141,./train/TRAIN_00141.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00142,./train/TRAIN_00142.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00143,./train/TRAIN_00143.jpg,0,0,0,0,0,1,0,0,0,0
TRAIN_00144,./train/TRAIN_00144.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00145,./train/TRAIN_00145.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00146,./train/TRAIN_00146.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00147,./train/TRAIN_00147.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00148,./train/TRAIN_00148.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00149,./train/TRAIN_00149.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00150,./train/TRAIN_00150.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00151,./train/TRAIN_00151.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00152,./train/TRAIN_00152.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00153,./train/TRAIN_00153.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00154,./train/TRAIN_00154.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00155,./train/TRAIN_00155.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00156,./train/TRAIN_00156.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00157,./train/TRAIN_00157.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00158,./train/TRAIN_00158.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00159,./train/TRAIN_00159.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00160,./train/TRAIN_00160.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00161,./train/TRAIN_00161.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00162,./train/TRAIN_00162.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00163,./train/TRAIN_00163.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00164,./train/TRAIN_00164.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00165,./train/TRAIN_00165.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00166,./train/TRAIN_00166.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00167,./train/TRAIN_00167.jpg,0,0,0,0,0,0,1,0,0,0
TRAIN_00168,./train/TRAIN_00168.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00169,./train/TRAIN_00169.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00170,./train/TRAIN_00170.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00171,./train/TRAIN_00171.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00172,./train/TRAIN_00172.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00173,./train/TRAIN_00173.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00174,./train/TRAIN_00174.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00175,./train/TRAIN_00175.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00176,./train/TRAIN_00176.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00177,./train/TRAIN_00177.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00178,./train/TRAIN_00178.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00179,./train/TRAIN_00179.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00180,./train/TRAIN_00180.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00181,./train/TRAIN_00181.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00182,./train/TRAIN_00182.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00183,./train/TRAIN_00183.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00184,./train/TRAIN_00184.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00185,./train/TRAIN_00185.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00186,./train/TRAIN_00186.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00187,./train/TRAIN_00187.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00188,./train/TRAIN_00188.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00189,./train/TRAIN_00189.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00190,./train/TRAIN_00190.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00191,./train/TRAIN_00191.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00192,./train/TRAIN_00192.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00193,./train/TRAIN_00193.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00194,./train/TRAIN_00194.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00195,./train/TRAIN_00195.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00196,./train/TRAIN_00196.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00197,./train/TRAIN_00197.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00198,./train/TRAIN_00198.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00199,./train/TRAIN_00199.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00200,./train/TRAIN_00200.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00201,./train/TRAIN_00201.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00202,./train/TRAIN_00202.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00203,./train/TRAIN_00203.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00204,./train/TRAIN_00204.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00205,./train/TRAIN_00205.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00206,./train/TRAIN_00206.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00207,./train/TRAIN_00207.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00208,./train/TRAIN_00208.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00209,./train/TRAIN_00209.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00210,./train/TRAIN_00210.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00211,./train/TRAIN_00211.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00212,./train/TRAIN_00212.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00213,./train/TRAIN_00213.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00214,./train/TRAIN_00214.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00215,./train/TRAIN_00215.jpg,0,0,0,0,0,0,0,1,0,0
TRAIN_00216,./train/TRAIN_00216.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00217,./train/TRAIN_00217.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00218,./train/TRAIN_00218.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00219,./train/TRAIN_00219.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00220,./train/TRAIN_00220.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00221,./train/TRAIN_00221.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00222,./train/TRAIN_00222.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00223,./train/TRAIN_00223.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00224,./train/TRAIN_00224.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00225,./train/TRAIN_00225.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00226,./train/TRAIN_00226.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00227,./train/TRAIN_00227.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00228,./train/TRAIN_00228.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00229,./train/TRAIN_00229.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00230,./train/TRAIN_00230.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00231,./train/TRAIN_00231.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00232,./train/TRAIN_00232.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00233,./train/TRAIN_00233.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00234,./train/TRAIN_00234.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00235,./train/TRAIN_00235.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00236,./train/TRAIN_00236.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00237,./train/TRAIN_00237.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00238,./train/TRAIN_00238.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00239,./train/TRAIN_00239.jpg,0,0,0,0,0,0,0,0,1,0
TRAIN_00240,./train/TRAIN_00240.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00241,./train/TRAIN_00241.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00242,./train/TRAIN_00242.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00243,./train/TRAIN_00243.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00244,./train/TRAIN_00244.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00245,./train/TRAIN_00245.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00246,./train/TRAIN_00246.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00247,./train/TRAIN_00247.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00248,./train/TRAIN_00248.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00249,./train/TRAIN_00249.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00250,./train/TRAIN_00250.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00251,./train/TRAIN_00251.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00252,./train/TRAIN_00252.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00253,./train/TRAIN_00253.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00254,./train/TRAIN_00254.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00255,./train/TRAIN_00255.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00256,./train/TRAIN_00256.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00257,./train/TRAIN_00257.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00258,./train/TRAIN_00258.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00259,./train/TRAIN_00259.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00260,./train/TRAIN_00260.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00261,./train/TRAIN_00261.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00262,./train/TRAIN_00262.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00263,./train/TRAIN_00263.jpg,0,0,0,0,0,0,0,0,0,1
TRAIN_00264,./train/TRAIN_00264.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00265,./train/TRAIN_00265.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00266,./train/TRAIN_00266.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00267,./train/TRAIN_00267.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00268,./train/TRAIN_00268.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00269,./train/TRAIN_00269.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00270,./train/TRAIN_00270.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00271,./train/TRAIN_00271.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00272,./train/TRAIN_00272.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00273,./train/TRAIN_00273.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00274,./train/TRAIN_00274.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00275,./train/TRAIN_00275.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00276,./train/TRAIN_00276.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00277,./train/TRAIN_00277.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00278,./train/TRAIN_00278.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00279,./train/TRAIN_00279.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00280,./train/TRAIN_00280.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00281,./train/TRAIN_00281.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00282,./train/TRAIN_00282.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00283,./train/TRAIN_00283.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00284,./train/TRAIN_00284.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00285,./train/TRAIN_00285.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00286,./train/TRAIN_00286.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00287,./train/TRAIN_00287.jpg,1,1,0,0,0,0,0,0,0,0
TRAIN_00288,./train/TRAIN_00288.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00289,./train/TRAIN_00289.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00290,./train/TRAIN_00290.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00291,./train/TRAIN_00291.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00292,./train/TRAIN_00292.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00293,./train/TRAIN_00293.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00294,./train/TRAIN_00294.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00295,./train/TRAIN_00295.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00296,./train/TRAIN_00296.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00297,./train/TRAIN_00297.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00298,./train/TRAIN_00298.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00299,./train/TRAIN_00299.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00300,./train/TRAIN_00300.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00301,./train/TRAIN_00301.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00302,./train/TRAIN_00302.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00303,./train/TRAIN_00303.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00304,./train/TRAIN_00304.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00305,./train/TRAIN_00305.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00306,./train/TRAIN_00306.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00307,./train/TRAIN_00307.jpg,1,0,1,0,0,0,0,0,0,0
TRAIN_00308,./train/TRAIN_00308.jpg,1,0,1,0,0,0,0,0,0,0
